species,sample,cellline,sensitivity,group,treatment,pct
PS(16:0_16:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.12511525593329043
PS(16:0_18:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.6909085246371006
PS(26:0_18:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.005144585910459817
PS(16:0_18:3),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.007859079119586155
PS(16:0_20:5),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.06184981655548244
PS(O-15:0_18:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.006513248224666567
PS(O-18:1_21:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.4912966825058153
PS(18:0_21:3),Area[s31-1],CaCo2,Res,Resistant,Ctr,18.324374704795524
PS(18:0_21:4),Area[s31-1],CaCo2,Res,Resistant,Ctr,3.10086445685207
PS(O-14:0_4:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.02152519380489734
PS(O-18:0_18:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.07091056163565414
PS(18:3_22:5),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.08061565590644304
PS(17:0_18:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,12.90199574599715
PS(18:0_23:6),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.17735908810496595
PS(16:0_18:4),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.04558469069274869
PS(O-18:0_21:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.31158964326624555
PS(15:0_22:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.4934048040900125
PS(28:0_9:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.2521833717494514
PS(18:0_19:2),Area[s31-1],CaCo2,Res,Resistant,Ctr,1.600397356658987
PS(23:3_20:4),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.11523712792203598
PS(17:0_22:6),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.03594878288683372
PS(18:3_22:6),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.042547692131030046
PS(23:0_18:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,1.6797813563292796
PS(O-17:1_10:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.0404488356802485
PS(18:1_23:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,1.964322867700705
PS(18:1_26:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.028225891136438492
PS(16:0_16:1),Area[s71-1],MCF7,Res,Resistant,Ctr,0.16578933663258105
PS(16:1_18:1),Area[s71-1],MCF7,Res,Resistant,Ctr,0.21582183210345054
PS(16:0_18:1),Area[s71-1],MCF7,Res,Resistant,Ctr,3.2129693744223515
PS(18:1_18:1),Area[s71-1],MCF7,Res,Resistant,Ctr,3.662175293623335
PS(18:0_18:1),Area[s71-1],MCF7,Res,Resistant,Ctr,30.40190568428703
PS(18:1_18:0),Area[s71-1],MCF7,Res,Resistant,Ctr,0.28551816533203184
PS(18:0_20:5),Area[s71-1],MCF7,Res,Resistant,Ctr,0.3626354687015168
PS(18:0_20:4),Area[s71-1],MCF7,Res,Resistant,Ctr,0.9548695931159297
PS(18:0_22:6),Area[s71-1],MCF7,Res,Resistant,Ctr,1.5618107770539005
PS(18:0_22:5),Area[s71-1],MCF7,Res,Resistant,Ctr,2.1277223029260455
PS(24:0_18:1),Area[s71-1],MCF7,Res,Resistant,Ctr,0.7949428262492617
PS(17:0_16:1),Area[s71-1],MCF7,Res,Resistant,Ctr,0.08315171272042998
PS(O-18:0_17:1),Area[s71-1],MCF7,Res,Resistant,Ctr,0.3067057064132846
PS(17:1_18:1),Area[s71-1],MCF7,Res,Resistant,Ctr,0.2040598986261819
PS(16:0_20:4),Area[s71-1],MCF7,Res,Resistant,Ctr,0.7726162156731454
PS(18:1_18:2),Area[s71-1],MCF7,Res,Resistant,Ctr,0.25867562213785505
PS(16:0_22:6),Area[s71-1],MCF7,Res,Resistant,Ctr,0.028429796390127604
