species,group,treatment,mean,sem,n
SM(d18:0_16:0),Sensitive,Ctr,5.746353205831387,0.9029858586047891,13
SM(d18:1_16:0),Sensitive,Ctr,36.424005572911,1.9140965002883539,13
SM(d18:1_18:0),Sensitive,Ctr,1.8496451263429916,0.3660659059856949,13
SM(d18:1_18:3),Sensitive,Ctr,1.0556771931550408,0.2025415699206184,13
SM(d18:1_20:0),Sensitive,Ctr,1.2068633720880706,0.3019869942074363,13
SM(d18:1_22:0),Sensitive,Ctr,6.5436628222248725,0.38269373546281177,13
SM(d18:1_23:0),Sensitive,Ctr,0.6383403737848253,0.06203021949092808,13
SM(d18:1_23:1),Sensitive,Ctr,0.9203067821461741,0.07570022771075145,13
SM(d18:1_24:0),Sensitive,Ctr,6.825924696637527,0.693985200671778,13
SM(d18:1_24:1),Sensitive,Ctr,13.058717035058082,1.1136403425934291,13
SM(d18:1_26:4),Sensitive,Ctr,0.8632851404949862,0.1064987536482478,13
SM(d18:2_16:0),Sensitive,Ctr,2.3351812888534824,0.20150426378471956,13
SM(d18:2_22:0),Sensitive,Ctr,1.9524396948110454,0.16046910779108242,13
SM(d18:2_24:1),Sensitive,Ctr,2.158951295302084,0.2068768473981289,13
SM(d20:1_24:0),Sensitive,Ctr,0.5199659468866941,0.1920017422475203,13
SM(d20:1_24:1),Sensitive,Ctr,0.5408013073549062,0.1341958241794378,13
SM(d24:0_10:1),Sensitive,Ctr,0.6584199506693629,0.05455647095608313,13
SM(d35:1),Sensitive,Ctr,1.6346295339152683,0.27189891359605184,13
SM(d36:0),Sensitive,Ctr,0.3982526461667245,0.11947787073240379,13
SM(d36:2),Sensitive,Ctr,0.8882513315831726,0.1296755472609224,13
SM(d38:0),Sensitive,Ctr,0.15584345026798463,0.030120300666468494,13
SM(d38:1),Sensitive,Ctr,0.879095344900321,0.11250105503165538,13
SM(d42:1),Sensitive,Ctr,0.6285912037701217,0.06594063185701914,13
SM(d42:2),Sensitive,Ctr,1.0168459160037562,0.1810683094492752,13
SM(d44:5),Sensitive,Ctr,0.8632851404949862,0.1064987536482478,13
SM(d44:7),Sensitive,Ctr,0.7915340324357582,0.13413768201625115,13
SM(d16:1_16:0),Resistant,C18:0,0.81215117999745,0.1880662679865054,8
SM(d17:1_16:0),Resistant,C18:0,1.1934022060203215,0.32352264449084606,8
SM(d18:0_16:0),Resistant,C18:0,4.474132315414549,1.0531206035826919,8
SM(d18:1_16:0),Resistant,C18:0,34.41606528528439,3.7598246825277184,8
SM(d18:1_18:0),Resistant,C18:0,3.3675428488944728,0.6096314582275091,8
SM(d18:1_18:3),Resistant,C18:0,1.4521420856625005,0.15257938787177341,8
SM(d18:1_20:0),Resistant,C18:0,3.1716566896533345,1.1526334827722051,8
SM(d18:1_22:0),Resistant,C18:0,5.613286769865617,0.6999010729132397,8
SM(d18:1_23:0),Resistant,C18:0,0.4590446368130947,0.047668146672562306,8
SM(d18:1_23:1),Resistant,C18:0,1.0770846224728192,0.14154037090367713,8
SM(d18:1_24:0),Resistant,C18:0,4.5519963192949096,0.6368075782269853,8
SM(d18:1_24:1),Resistant,C18:0,12.835051973262948,2.089768041169285,8
SM(d18:1_26:4),Resistant,C18:0,0.9184962597026007,0.21238529198695236,8
SM(d18:2_16:0),Resistant,C18:0,1.4363881134576988,0.26127553200857745,8
SM(d18:2_22:0),Resistant,C18:0,1.9558602548651296,0.25387774787666756,8
