species,sample,cellline,sensitivity,group,treatment,pct
Cer(t15:0_26:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.05343571293005831
Cer(t43:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.01685773374640622
Cer(m38:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.0
Cer(d18:1_12:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.004262419436055985
Cer(t18:1_14:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.0020604456392727794
Cer(t17:2_6:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.003924857537207945
Cer(d18:1_17:2),Area[s26-1],Hs578t,Res,Resistant,Ctr,8.880102513827522
Cer(d13:2_22:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.2661801226489291
Cer(d18:1_22:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,1.9903485600170487
Cer(m18:1_24:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,1.4766296293160412
Cer(m18:2_24:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,1.4766296293160412
Cer(d18:1_23:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.7925954706696867
Cer(d18:1_24:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,8.078560682714235
Cer(d18:1_24:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,6.800432525417162
Cer(d18:0_24:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.5584175378702346
Cer(t18:0_24:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.11758583545708509
Cer(d20:1_24:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.5020742404165496
Cer(d19:0_31:4),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.0
Cer(t16:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.0
Cer(d23:2),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.0017473696287249483
Cer(d18:1_16:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,11.481925204318056
Cer(d18:1_18:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,1.3393353639024663
Cer(d18:0_22:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.2980089626938519
Cer(m18:1_24:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.2749391970375492
Cer(d20:1_23:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,1.0242153591288001
Cer(d18:1_24:3),Area[s26-1],Hs578t,Res,Resistant,Ctr,1.3652028921943422
Cer(d18:2_22:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.6701720232357875
Cer(d18:2_24:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,3.61420628644435
Cer(d20:1_22:2),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.09876214885573924
Cer(d18:1_26:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,6.352646406879389
Cer(d18:1_14:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.6733673153861924
