treatment,species,p,log2FC,q,-log10p
C18:0,PE(O-18:2_22:6),0.8556530747835095,0.015588991296784586,0.9681332911869756,0.06770228462629445
C18:0,PE(O-18:4_20:5),0.8632499953443968,2.759952050998716,0.972164714383176,0.06386341527039731
C18:0,PE(O-19:0_18:0),0.6582687521817956,-0.5884468927757149,0.8813487181989597,0.18159676018010848
C18:0,PE(O-19:0_18:1),0.5491156830287265,0.23004334072864074,0.8375751874045765,0.2603361523587362
C18:0,PE(O-19:1_18:1),0.9792669166582209,0.16423648350192324,0.9916106172883664,0.009098917312607646
C18:0,PE(O-20:1_18:1),0.14687701992049818,-0.8841361186905533,0.47834272703837916,0.833046147429479
C18:0,PE(O-20:6_18:1),0.4814603110255284,-0.4145469636703205,0.8002202410838093,0.31743950785326386
C18:0,PE(O-21:4_22:0),0.8556530747835095,0.5531760396803698,0.9681332911869756,0.06770228462629445
C18:0,PE(O-21:4_24:1),0.9378728196119499,0.5029863410548352,0.9916106172883664,0.027856050151982257
C18:0,PE(O-24:2_18:1),0.7749089557785209,-0.026849888293788333,0.9291196932468833,0.11074931979337202
C18:0,PE(O-24:8_22:5),0.0014999493260362828,0.9446553709054779,0.050610702591378925,2.8239233838534172
C18:0,PE(O-24:8_22:6),0.1976581872234046,0.6505601621641813,0.5475358979406956,0.7040851917650605
C18:0,PE(O-24:8_24:5),0.004431381822686171,1.0152113187203553,0.08899691827228061,2.353460818289937
C18:0,PE(O-26:8_22:6),0.007872707003141787,0.7613450554418201,0.12648815918381137,2.103875905785912
C18:0,PE(O-36:2),0.17565917408888398,-0.5809050142836194,0.5427418071207826,0.7553291632897636
C18:0,PE(O-50:15),0.0005486301138475052,0.8979480388792309,0.04315056923752577,3.2607202788570335
C18:0,PE(O-5:0_11:1),0.36595769656363786,-0.49397806658835147,0.7055664389746937,0.43656911451646496
C18:0,PE(P-11:0_12:1),0.5845352071439027,0.6165154191383903,0.8435508079142549,0.23318932564625744
C18:0,PE(P-11:0_15:1),0.13227390966521402,0.5895109494720013,0.47834272703837916,0.8785258093453503
C18:0,PE(P-12:0_20:4),0.2762842711569151,-0.7448257716020275,0.6311039625371347,0.5586438385752208
C18:0,PE(P-12:0_20:5),0.10235240054865966,-0.08211400835658274,0.4496076965947294,0.9899019666190724
C18:0,PE(P-12:0_22:6),0.006213598067513952,-2.1358629282220223,0.11254040645344994,2.2066568359336522
C18:0,PE(P-16:0_16:0),0.7353319144623491,-0.18518362284834913,0.9182123905980628,0.13351658455520587
C18:0,PE(P-16:0_16:1),0.33318153665979755,-0.3618104643120822,0.6747626078572371,0.4773190730080646
C18:0,PE(P-16:0_18:1),0.05832235397452788,-0.6367348052488546,0.3513921826965305,1.2341649548384992
C18:0,PE(P-16:0_18:2),0.6964341294776076,-0.19161847334855917,0.9023689527102335,0.1571199539188263
C18:0,PE(P-16:0_20:3),0.6964341294776076,0.7562507491199579,0.9023689527102335,0.1571199539188263
C18:0,PE(P-16:0_20:4),0.7353319144623491,-0.08468509741645175,0.9182123905980628,0.13351658455520587
C18:0,PE(P-16:0_20:5),0.41842370190196276,-0.18070846361078965,0.7622523933276661,0.3783837224268474
C18:0,PE(P-16:0_22:5),0.5491156830287265,0.26912910176847354,0.8375751874045765,0.2603361523587362
C18:0,PE(P-16:0_22:6),0.10633874981701068,-0.6982450139073455,0.4496076965947294,0.97330844941337
C18:0,PE(P-16:3_4:0),0.9792669166582209,-0.03399852811584517,0.9916106172883664,0.009098917312607646
C18:0,PE(P-17:0_18:1),0.09491481143655056,-0.5749833504912789,0.4315937652114846,1.0226660102633034
C18:0,PE(P-17:0_20:4),0.6209546974764365,0.14112074566831778,0.870058616812914,0.20694008309273323
C18:0,PE(P-18:0_16:0),0.015756224451876626,-0.9571230181097855,0.1582187538709278,1.8025478384146858
C18:0,PE(P-18:0_18:1),0.011246466898640811,-1.2197917438719073,0.13324532116959836,1.9489838867947953
C18:0,PE(P-18:0_20:1),0.11878337443554834,-0.8040996919848297,0.46929169244208446,0.9252443409435736
C18:0,PE(P-18:0_20:3),0.21703771268988659,0.5357615384730441,0.5624310619168028,0.6634647959510547
C18:0,PE(P-18:0_20:4),0.13227390966521402,-0.5849958302805812,0.47834272703837916,0.8785258093453503
C18:0,PE(P-18:0_22:1),0.09491481143655056,-0.9360732288311461,0.4315937652114846,1.0226660102633034
C18:0,PE(P-18:0_22:3),0.5845352071439027,0.14890104519033134,0.8435508079142549,0.23318932564625744
C18:0,PE(P-18:0_22:5),0.14687701992049818,-0.5305127667349907,0.47834272703837916,0.833046147429479
